PRIMARY_NAME,REGION_CODE
Aleutian/Bering Sea Islands,1
Western Alaska,2
Arctic Plains and Mountains,3
Northwestern Interior Forest,4
Northern Pacific Rainforest,5
Boreal Taiga Plains,6
Taiga Shield and Hudson Plains,7
Boreal Softwood Shield,8
Great Basin,9
Northern Rockies,10
Prairie Potholes,11
Boreal Hardwood Transition,12
Lower Great Lakes/St. Lawrence Plain,13
Atlantic Northern Forest,14
Sierra Nevada,15
Southern Rockies/Colorado Plateau,16
Badlands and Prairies,17
Shortgrass Prairie,18
Central Mixed Grass Prairie,19
Edwards Plateau,20
Oaks and Prairies,21
Eastern Tallgrass Prairie,22
Prairie Hardwood Transition,23
Central Hardwoods,24
West Gulf Coastal Plain/Ouachitas,25
Mississippi Alluvial Valley,26
Southeastern Coastal Plain,27
Appalachian Mountains,28
Piedmont,29
New England/Mid-atlantic Coast,30
Peninsular Florida,31
Coastal California,32
Sonoran and Mohave Deserts,33
Sierra Madre Occidental,34
Chihuahuan Desert,35
Tamaulipan Brushlands,36
Gulf Coastal Prairie,37
Islas Marias,38
Sierras de Baja California,39
Desierto de Baja California,40
Islas del Golfo de California,41
Sierras y Planicies del Cabo,42
Planicie Costera. Lomerios y Canones de Occidente,43
Marismas Nacionales,44
Planicie Costera y Lomerios del Pacifico Sur,45
Sur del Altiplano Mexicano,46
Eje Neovolcanico Transversal,47
Sierra Madre Oriental,48
Planicie Costera y Lomerios Secos del Golfo de Mexico,49
Cuenca del Rio Balsas`,50
Valle Tehuacan-Cuicatlan,51
Planice Costera y Lomerios Humedos del Golfo de Mexico,52
Sierra Madre del Sur,53
Sierra Norte de Puebla-Oaxaca,54
Planicie Noroccidental de Yucatan,55
Planicie de la Peninsula de Yucatan,56
Isla Cozumel,57
Altos de Chiapas,58
Depresiones Intermontanas,59
Sierra Madre de Chiapas,60
Planicie Costera del Soconusco,61
Archipielago de Revillagigedo,62
Isla Guadalupe,63
Arrecife Alacranes,64
Los Tuxtlas,65
Pantanos de Centla-Laguna de Terminos,66